u,v,osmid,name,highway,length,edge_betweenness,is_major
56028911,56044285,685509277,Healdsburg Avenue,secondary,845.685784315043,0.018078112854321805,True
56044285,56028911,685509277,Healdsburg Avenue,secondary,845.6857843150432,0.018078112854321805,True
301945099,301945095,521476893,Healdsburg Avenue,secondary,23.095779440437248,0.018044833762205066,True
3600627514,5274485057,534657227,Healdsburg Avenue,secondary,313.2807465806359,0.018037056295525957,True
5274485057,3600627514,534657227,Healdsburg Avenue,secondary,313.28074658063593,0.018037056295525957,True
5274485057,301945095,31121866,Healdsburg Avenue,secondary,51.834136044776606,0.01801234828913722,True
301945095,5274485057,31121866,Healdsburg Avenue,secondary,51.834136044776606,0.01801234828913722,True
56127953,56044285,685509277,Healdsburg Avenue,secondary,640.9582342118946,0.018011237222468772,True
56044285,56127953,685509277,Healdsburg Avenue,secondary,640.9582342118946,0.018011237222468772,True
56101434,56051213,578673212,Healdsburg Avenue,secondary,220.5801812134609,0.017578450301141392,True
56051213,56101434,578673212,Healdsburg Avenue,secondary,220.58018121346086,0.017578450301141392,True
56109575,56101434,578673212,Healdsburg Avenue,secondary,154.76859180556693,0.017345126300768076,True
56101434,56109575,578673212,Healdsburg Avenue,secondary,154.76859180556693,0.017345126300768076,True
5072402795,56010455,578673212,Healdsburg Avenue,secondary,97.28523167863175,0.01729824986894704,True
56010455,5072402795,578673212,Healdsburg Avenue,secondary,97.28523167863175,0.01729824986894704,True
5072402795,56109575,578673212,Healdsburg Avenue,secondary,92.12563311751316,0.01729581610386378,True
56109575,5072402795,578673212,Healdsburg Avenue,secondary,92.12563311751316,0.01729581610386378,True
56113377,56051213,578673212,Healdsburg Avenue,secondary,168.22573690832922,0.017270737741918896,True
56051213,56113377,578673212,Healdsburg Avenue,secondary,168.22573690832922,0.017270737741918896,True
55980587,318293733,186410489,Redwood Highway,motorway,977.7541505107577,0.017205502256100232,True
318293733,55964256,28949303,,motorway_link,256.92215834787424,0.017145716287750606,True
55964256,301944924,521476894,,motorway_link,53.43687941200234,0.016980696433518322,True
301944924,301945099,354331050,,motorway_link,77.84051161282206,0.016977521957322765,True
56042073,56109828,578673212,Healdsburg Avenue,secondary,78.03190143058552,0.01689054130956455,True
56109828,56042073,578673212,Healdsburg Avenue,secondary,78.03190143058552,0.01689054130956455,True
3922948896,56042073,578673212,Healdsburg Avenue,secondary,188.63634811864677,0.016881705684153585,True
56042073,3922948896,578673212,Healdsburg Avenue,secondary,188.63634811864677,0.016881705684153585,True
56054288,56113377,578673212,Healdsburg Avenue,secondary,241.89382519556176,0.016800121645927812,True
56113377,56054288,578673212,Healdsburg Avenue,secondary,241.8938251955617,0.016800121645927812,True
56128030,56054288,354331049,Healdsburg Avenue,secondary,192.38834020127803,0.01679657681417611,True
56054288,56128030,354331049,Healdsburg Avenue,secondary,192.38834020127803,0.01679657681417611,True
56128012,56044018,578673212,Healdsburg Avenue,secondary,274.40655355813493,0.01673959496646589,True
56044018,56128012,578673212,Healdsburg Avenue,secondary,274.40655355813493,0.01673959496646589,True
56128012,56126422,578673212,Healdsburg Avenue,secondary,175.5221967138741,0.016734409988679817,True
56126422,56128012,578673212,Healdsburg Avenue,secondary,175.52219671387414,0.016734409988679817,True
56052433,56020533,354331049,Healdsburg Avenue,secondary,313.29789181453174,0.016711712483881598,True
56020533,56052433,354331049,Healdsburg Avenue,secondary,313.2978918145318,0.016711712483881598,True
56126422,56010455,578673212,Healdsburg Avenue,secondary,191.09402412352154,0.016702453594977892,True
56010455,56126422,578673212,Healdsburg Avenue,secondary,191.09402412352154,0.016702453594977892,True
56052433,56028911,685509265,Healdsburg Avenue,secondary,307.95990159564843,0.016689226610829746,True
56028911,56052433,685509273,Healdsburg Avenue,secondary,307.95990159564843,0.016689226610829746,True
56044018,56109828,578673212,Healdsburg Avenue,secondary,103.22537974095812,0.016681396236214042,True
56109828,56044018,578673212,Healdsburg Avenue,secondary,103.22537974095812,0.016681396236214042,True
56128031,56020533,354331049,Healdsburg Avenue,secondary,334.4363647778894,0.016636689029793306,True
56020533,56128031,354331049,Healdsburg Avenue,secondary,334.43636477788937,0.016636689029793306,True
56128030,56128031,354331049,Healdsburg Avenue,secondary,169.03020106786622,0.01661510259166353,True
56128031,56128030,354331049,Healdsburg Avenue,secondary,169.03020106786622,0.01661510259166353,True
56034487,56119021,566921604,Old Redwood Highway,secondary,394.7501567691799,0.015938092635024756,True
56119021,56034487,566921604,Old Redwood Highway,secondary,394.7501567691799,0.015938092635024756,True
56119021,331094755,566921604,Old Redwood Highway,secondary,201.33417131828062,0.01593364836835098,True
