vineyard_field_id,ET_2019_04,ET_2019_05,ET_2019_06,ET_2019_07,ET_2019_08,ET_2019_09,ET_2019_10
VYD_00001,33.29033707865168,4.209737827715356,14.5310861423221,5.533333333333334,19.00374531835206,25.90097378277154,29.33168539325843
VYD_00002,38.62911689181644,21.833203081388852,58.87953555878082,67.5322094451267,65.906665178073,42.85073127163112,34.32946298984034
VYD_00003,64.21895502803292,51.22802099487058,61.86222116187523,55.255755696051544,52.73488011451748,46.571633066921166,30.98830967434093
VYD_00004,38.04757846896748,5.928987359750036,23.18505894049141,23.52776594233774,33.98991620508451,32.245703735264875,34.75529044169863
VYD_00005,35.34859555122585,10.328949504789739,28.257346971911026,12.099529144341615,26.155707095307676,29.66471829842507,27.13882123721383
VYD_00006,34.43085880640466,4.273653566229985,9.388646288209607,11.851043182920913,20.489568170790882,27.923823386705482,32.07811741872877
VYD_00007,52.98573873359956,18.27666856816886,59.630804335425005,50.41357672561324,36.17855105533372,26.228522532800913,18.214831717056473
VYD_00008,59.504098360655725,48.34631147540984,57.32684426229508,18.354508196721312,14.376024590163933,10.32172131147541,14.04200819672131
VYD_00009,39.303264354415624,11.454386476245995,25.124890702419123,37.07330224424366,33.497668318274556,33.78883707373944,32.11119207228214
VYD_00010,73.9966584833606,50.998431533006,89.64157119476266,65.54766775777412,37.94694489907256,27.47101745771959,19.339266230223682
VYD_00011,38.60713016700225,8.116072486083146,38.41466303446642,36.968849934857275,32.063602984721065,22.50503375577401,17.17434561174938
VYD_00012,71.40230132272288,61.74212280890418,93.84729540810844,58.68717066351221,42.95784492956232,35.559307452414245,23.563071297989033
VYD_00013,69.8964653492903,64.05928193709991,110.02783189535207,88.96214862232118,74.82827720567771,55.27943222933481,37.31366546061787
VYD_00014,71.76765375854212,66.95767893537943,104.8373096750989,69.67629780601845,56.436878072173606,45.32825800263757,27.950365663589487
VYD_00015,40.76600322754169,9.459386767079076,26.477676169983862,38.829478214093605,32.12641204948898,33.210866057019906,29.525013448090373
VYD_00016,63.26559999999998,52.795542857142856,64.48091428571425,52.92365714285712,50.94194285714284,46.856457142857145,30.2384
VYD_00017,34.05774647887324,5.63380281690141,22.904225352112675,25.43943661971831,32.04507042253522,25.94366197183099,26.6830985915493
VYD_00018,72.85422602089265,70.88556505223171,109.84140550807217,83.22127255460589,74.80294396961064,60.99477682811015,37.93542260208926
VYD_00019,67.93688166270417,49.97062658179306,60.41306848684715,46.26643147480633,56.213513306235136,42.00797607178465,33.02653577728353
VYD_00020,46.54827002177595,27.889426566658607,65.92027582869586,71.18170820227438,65.04548753931769,47.797483668037735,30.899951609000723
VYD_00021,72.30719377835386,57.00064808813999,95.08230719377835,56.7647440051847,39.57420609202852,28.411535968891773,23.701231367465976
VYD_00022,93.68181818181817,83.69460227272728,123.3465909090909,115.5710227272727,93.17897727272728,62.123579545454554,43.37357954545454
VYD_00023,86.36,86.80000000000003,125.16444444444444,117.72000000000001,93.8,62.22222222222223,40.56888888888889
VYD_00024,77.88197251414714,68.02586903799516,104.94907033144706,94.19886822958772,76.78011317704123,48.15925626515765,36.04688763136621
